CdSecteurH;CdEuMasseD;CNRM_ALAD;CNRM_Had3;EARTH_Had3;EARTH_RAC;EARTH_RCA4;Had2_ALAD;Had2_CCLM4;Had2_Had3;Had2_Reg6;IPSL_HIR5;IPSL_RCA4;MPI_CCLM4;MPI_Reg6;MPI_REMO;Nor_HIR5;Nor_REMO;Nor_WRF;Med_models
Q9;FRFG028B;-5.1673261344873715;-4.986020732095476;10.681935947055198;11.290820756370712;-2.8364447671833215;6.546915351187432;-10.644156494717771;-2.2129960972895435;-7.275309886243065;-19.305121405051484;-6.9058980039405915;3.571709302811832;27.39023422131064;13.008912238759796;-14.701677597913942;-14.51865169850569;11.018994851561793;-2.8364447671833215
Q9;FRFG044;-6.217502909215;1.1368317073310097;6.682452920904414;12.413767773509289;-2.9021868594834244;10.007645230347118;-15.290226786011196;-1.8492056931867171;-9.973835288717492;-13.59701536324508;-13.435468502047575;1.5361221777864476;22.18231721032009;4.008712230052147;-17.041477564073336;-11.806728010003386;12.83456281432569;-1.8492056931867171
Q9;FRFG045E;1.2296999565071465;-3.9235774810286506;12.982623499572178;18.582985541204746;5.646624739099315;0.8064815198082442;-8.596970032489004;-2.39546186576085;-6.831456990749862;-16.301048299406407;-7.695761997370321;6.011568143992951;30.65702661522003;13.679068655444237;-15.841062412096909;-16.49676178256105;5.355429202407058;0.8064815198082442
Q9;FRFG051B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q9;FRFG083B;-5.339284489315688;-4.371032329349456;10.205132082309376;11.552821436680238;-2.62917905709662;6.600051013746788;-10.384906254639336;-1.9024891596109097;-6.485794991671224;-20.39493460188636;-8.196990904874458;3.107486710399243;24.652958267522052;12.252887497778907;-16.233235305952277;-15.066393550628945;11.121938313204094;-2.62917905709662
Q9;FRFG110;-6.492844404799336;-2.514088446572127;5.323100246687296;7.328849609642929;-4.726425682907043;9.526293545524634;-7.746202140390301;2.750421631140565;-6.076920719387601;-12.907337388997131;-7.54581065826806;-7.824480263094014;12.709780105527637;1.681640820251995;-8.038266444707764;-7.439068066713728;11.499797098497911;-4.726425682907043
Q9;FRFG111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R0;FRFG001;6.801937642261446;-5.144222594783432;24.069480787185334;20.63517925036662;0.07861673900477761;1.9379390663539775;-1.971747393584522;-5.22406299783027;-0.9320923734175812;-6.326123279164253;-1.7750351790684404;5.236137338568647;23.656289786260864;16.314892721396703;-12.71601400520359;-8.378777338235622;5.708967128584597;0.07861673900477761
R0;FRFG002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R0;FRFG013;12.397452095815908;0.3731721738853944;28.78156206208575;27.74529977745119;5.429218406999103;1.917903647326824;-1.0612568489344665;-2.2515786959432793;-0.8373362641956206;-4.875750049184435;-0.7546429663084497;6.097558833184213;30.664711861224127;19.80777635119051;-9.540642297205292;-11.061577629316776;9.397595275914128;1.917903647326824
R0;FRFG014;13.367871189705593;6.241173521130805;26.56528888216123;24.097020013359028;5.519924891604;2.4837069799155564;-1.5090277519419717;-0.35603855564048104;3.271495830679627;-6.183935715069966;0.0052134003778903;9.482534795338848;27.350483713542584;23.225105797438506;-5.196358741449291;-9.823281805834284;6.360515964277891;5.519924891604
R0;FRFG016C;11.934351439267022;2.6367923207485378;25.73583423477883;22.741303033810787;4.568134539097435;4.0479956817564;-2.3574521389258307;-0.29955665383943897;0.9344493964157152;-7.712125533898851;0.18640584799443083;13.302334670008298;34.070594969704906;16.1645167349892;-8.74032916582389;-14.106387555857667;8.740902237750635;4.0479956817564
R0;FRFG017;11.842398199646077;0.03373939265638448;27.501799991071675;25.826322474231137;2.5023898311454573;2.01216437413263;-1.92706354091694;-2.5688466767114337;-1.008096392675295;-4.718739636662339;-0.8393951710823577;12.160080120142648;31.824830599526276;19.682743925576695;-7.9694271507373955;-14.22508543757407;11.880643220511654;2.01216437413263
R0;FRFG018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R0;FRFG078A;9.071841888348043;-1.4817129988443534;29.073671648673717;23.83020605244841;4.417254891921019;3.681131396499104;-1.3506208932770547;-0.5976011906362766;-4.1422872160916775;-6.422916522604072;-1.920835952334321;6.2237448649279825;27.49602397583628;12.293966795494416;-12.078081393001106;-11.845680628208644;7.199039021705067;3.681131396499104
R0;FRGG057;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R0;FRGG063;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R0;FRGG064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R0;FRGG083;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R1;FRFG001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R1;FRFG002;6.470142739033569;-5.942580869906122;26.054469153638248;21.35788848671254;2.1633039709811452;1.9932661618065064;-2.0862280733126015;-2.913566765198239;-2.7552996731697754;-7.367173102331471;-2.63841693751461;7.380046415558095;21.896765747130463;11.534603466160242;-13.632387866343432;-9.74552425538583;3.708041818803909;1.9932661618065064
R1;FRFG003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R1;FRFG004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R1;FRFG013;12.397452095815842;0.37317217388541657;28.78156206208611;27.745299777451436;5.429218406999503;1.9179036473272904;-1.0612568489342775;-2.251578695942591;-0.8373362641953985;-4.875750049183902;-0.7546429663083942;6.097558833184147;30.664711861224593;19.80777635119002;-9.540642297205304;-11.06157762931641;9.397595275914238;1.9179036473272904
R1;FRFG016C;11.934351439266976;2.6367923207484045;25.7358342347789;22.741303033810635;4.568134539097457;4.047995681755934;-2.3574521389255865;-0.2995566538391836;0.934449396414916;-7.71212553389865;0.18640584799411997;13.302334670008698;34.07059496970477;16.164516734988954;-8.740329165823956;-14.10638755585799;8.740902237750658;4.047995681755934
