"GWL","EXP","GCM","RCM","BC","HM","SH","deltaRecharge"
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V0",11.8997966944528
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V0",-14.5020637532892
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V0",-2.683637910317
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V0",1.21894276232934
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","V1",12.5153025933561
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","V1",16.0029411695594
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","V1",-0.53935251095738
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","V1",7.93383650808204
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","V1",1.80770332735329
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","V1",10.5145243060282
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","V1",6.61226005501507
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","V1",0.886475768806627
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","V1",3.11172006927245
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","V1",-9.62771180641921
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","V1",-5.24256767736616
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","V1",5.8237251975946
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","V1",3.78769858250132
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V1",9.52509494920255
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V1",-15.6443137448347
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V1",-3.66323536988693
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V1",3.3905481784553
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","V2",12.0274610512207
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","V2",15.0926629812908
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","V2",-0.0676805590275609
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","V2",10.3576801681434
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","V2",3.58186974604013
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","V2",8.83511236930197
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","V2",4.70106963728414
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","V2",1.33520075280951
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","V2",2.22733252959029
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","V2",-10.420739654634
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","V2",-4.58444556594704
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","V2",6.51034802061938
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","V2",2.89667173099697
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V2",10.10345398499
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V2",-14.5375309112937
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V2",-1.22316561158321
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V2",1.9781951925077
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","V3",20.0699889976177
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","V3",22.1682714695011
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","V3",-1.60846372223868
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","V3",11.789434990942
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","V3",-2.35060591005803
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","V3",8.95620120022544
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","V3",10.4416022757386
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","V3",3.76111466276789
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","V3",-0.0883091010170367
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","V3",2.77344468597995
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","V3",-7.31356850858967
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","V3",-0.762189501835431
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","V3",13.4335510495751
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V3",5.21675076344572
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V3",-6.58194120161828
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V3",-2.86317555491868
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V3",-0.190754747964961
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","V4",12.8584040588213
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","V4",20.3835311185754
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","V4",1.73289920754387
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","V4",2.96671597785958
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","V4",-4.45683243410598
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","V4",8.59347556659198
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","V4",10.854899469667
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","V4",3.55098069684341
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","V4",-0.561009176479721
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","V4",-4.47035520036722
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","V4",-9.3381129078198
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","V4",-2.63546142563701
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","V4",11.1043835661134
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V4",1.57455224276073
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V4",-0.262883868107211
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V4",-1.71079301380005
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V4",2.25907614678984
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","V5",17.6190984512432
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","V5",20.0745692880606
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","V5",2.47632077272646
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","V5",-5.55627190847774
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","V5",-5.4883807522518
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","V5",7.87392087335637
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","V5",10.230472885276
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","V5",5.46750980026753
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","V5",-0.190837249832754
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","V5",-6.28154792322624
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","V5",-9.13895995979681
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","V5",-5.77889386708729
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","V5",9.19344194778977
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V5",-2.54917546485911
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V5",8.38168890586206
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V5",1.11119649022722
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V5",1.50253555718201
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","V6",10.3904036708822
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","V6",28.8729150934992
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","V6",5.29447743941103
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","V6",2.60575648570478
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","V6",-2.664965733098
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","V6",11.3069688479731
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","V6",14.3521433644733
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","V6",3.1505781144979
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","V6",-1.10143198991343
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","V6",-8.60738792057127
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","V6",-12.6932992913184
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","V6",-3.04766722930943
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","V6",7.84511653350453
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V6",-3.68862379248436
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V6",0.577905892763875
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V6",-5.73887202797604
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V6",1.05261018058325
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","V7",20.0467650371317
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","V7",23.9523433962113
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","V7",2.70042042187499
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","V7",-12.8876096139983
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","V7",-7.36130405302831
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","V7",10.3522770334352
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","V7",16.9311170882431
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","V7",9.78403640315364
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","V7",1.22384962475703
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","V7",-7.7191234460191
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","V7",-12.1123592453692
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","V7",-7.41353000752365
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","V7",7.74123858406084
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","V7",-5.20892045367736
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","V7",10.8208958867176
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","V7",-5.60767554088253
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","V7",-0.0070445091050697
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","W0",6.11319577875127
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","W0",7.81362574588091
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","W0",-1.52054751109353
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","W0",-2.18682184877399
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","W0",-5.9534980730838
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","W0",7.19434631427887
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","W0",5.44769683113746
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","W0",1.85315349743091
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","W0",-0.837048068487245
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","W0",-8.17878423481583
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","W0",-6.22552651676487
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","W0",7.85067643740676
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","W0",4.68571166297445
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","W0",11.6538315892363
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","W0",-16.1192878460566
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","W0",-4.07494381628247
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","W0",2.42953881716943
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","W1",6.28548312647248
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","W1",7.72865818802444
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","W1",-1.57128812288322
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","W1",-2.13126239900213
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","W1",-5.89959347006779
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","W1",7.37484597066811
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","W1",5.52038858413948
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","W1",1.90416158223381
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","W1",-0.61764086226902
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","W1",-8.02662934114818
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","W1",-6.03443171817677
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","W1",7.60116174746932
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","W1",4.81280011912513
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","W1",11.5821995288671
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","W1",-15.926258198613
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","W1",-4.11687378131187
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","W1",2.82842064856654
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","W2",5.19975557919652
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","W2",11.5530260077263
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","W2",-0.662091710194812
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","W2",-2.70674141360877
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","W2",-7.61235904974837
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","W2",6.88686716521114
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","W2",5.44869552177156
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","W2",-0.328023519908138
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","W2",-1.57409832791005
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","W2",-8.99230594509566
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","W2",-9.09842331815807
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","W2",5.05442698188308
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","W2",0.458958417000055
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","W2",10.2221831433304
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","W2",-13.7419641639114
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","W2",-4.38407523979742
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","W2",3.98751220954496
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","W3",9.01985483602319
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","W3",15.3616310665359
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","W3",-0.978013896932561
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","W3",5.57555101317839
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","W3",-1.87817976922841
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","W3",11.6660024510256
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","W3",10.5995161595457
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","W3",0.657396040070535
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","W3",1.33857213557975
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","W3",-6.57734826746663
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","W3",-5.23477167278611
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","W3",-0.93221716490689
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","W3",7.97575947560176
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","W3",7.23811023848136
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","W3",-13.5322381689318
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","W3",-0.789221289929642
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","W3",5.41697163927144
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","X0",3.32200373618827
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","X0",15.6714310223648
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","X0",1.49847162740238
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","X0",-3.9136154665561
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","X0",-9.34667230013655
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","X0",8.19035327612017
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","X0",5.98323087635091
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","X0",1.73473599866365
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","X0",-1.13312173299694
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","X0",-11.7094137939768
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","X0",-11.409876523302
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","X0",3.010630512071
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","X0",4.53977307169899
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","X0",4.00094187538518
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","X0",-8.07430517079039
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","X0",-6.69283371266508
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","X0",2.83100637357985
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","X1",5.96993777572772
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","X1",20.5413701546607
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","X1",3.70284352555679
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","X1",-2.11274847168677
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","X1",-6.96432515887945
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","X1",8.67738462308012
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","X1",6.73763813387696
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","X1",1.81823513313235
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","X1",2.1862079390671
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","X1",-11.9631832266208
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","X1",-11.0270266116002
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","X1",1.37744599277037
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","X1",3.89904764794062
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","X1",-0.400483254671569
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","X1",-5.04532950349331
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","X1",-6.45446058408348
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","X1",4.41207756458202
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","X2",8.54551855105579
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","X2",16.6034872583554
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","X2",0.908854983066054
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","X2",-6.90151051420189
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","X2",-10.1858352944839
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","X2",12.3779035168496
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","X2",8.88275916196237
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","X2",4.55865111775506
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","X2",8.2398318830655
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","X2",-16.8507385036297
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","X2",-15.1448886361166
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","X2",-5.78750003921551
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","X2",-0.813179501236194
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","X2",-7.64999181142717
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","X2",-1.74717714108235
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","X2",-8.03437402520335
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","X2",3.36113560925972
