"GWL","EXP","GCM","RCM","BC","HM","SH","deltaRecharge"
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A2",-6.81960029753566
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A2",1.31474029976424
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A2",-1.55770725920443
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A3",28.8439805290681
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A3",19.0742187565923
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A3",6.98268414543606
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A3",20.5173380429909
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A3",9.56563411714604
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A3",3.04189883657338
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A3",3.55592819831147
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A3",2.17102599679575
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A3",4.52177353512555
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A3",5.06766109454362
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A3",0.775884970033713
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A3",14.2038601846196
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A3",14.5558244994856
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A3",25.5002908645395
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A3",-2.83280242947961
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A3",1.09429031338988
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A3",-3.14683128419133
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A4",15.6947753661895
