CdSecteurH;CNRM_ALAD;CNRM_Had3;EARTH_Had3;EARTH_RAC;EARTH_RCA4;Had2_ALAD;Had2_CCLM4;Had2_Had3;Had2_Reg6;IPSL_HIR5;IPSL_RCA4;MPI_CCLM4;MPI_Reg6;MPI_REMO;Nor_HIR5;Nor_REMO;Nor_WRF;Med_models
A0;9.257179424432715;5.849259080955749;36.05008881432386;24.16715433705177;29.449421664668375;9.239526907429576;6.1380665161884895;6.890830405661497;6.834449386332975;24.65456128838288;2.366857501889763;13.887727575029473;28.56714072787476;26.290085021727695;-6.549582657612207;2.9766786432836367;33.92998569901575;9.257179424432715
A1;2.7521630192795854;1.841386409430723;20.775798392555835;17.043174332851187;14.929737454049176;6.0747117336188206;5.112022387983006;3.3922934981657216;5.844149140638355;7.726641816838376;0.7714255264275272;10.625168146924624;17.559213111682716;19.795707030741006;-8.94240482685965;2.0912311185006915;15.157245011129785;6.0747117336188206
A2;1.7824576011284954;0.42289027841100335;19.75615726466056;16.581231980858636;12.570732185715938;7.2451309026461566;6.6783585327799155;2.912420754561595;6.451149393537903;6.881141025227699;1.1480801690422204;8.083739741508422;17.87939286604596;19.4018743682282;-8.56478622800525;1.918418820616985;13.266051705979631;6.881141025227699
A3;4.721042561336275;0.47829261433698367;26.603977227774145;22.442613649366415;17.006683221131368;8.840039852907623;8.500195020743305;5.699108114445206;4.905410467933846;15.354871558402694;4.249031415647764;7.654920712649593;22.42152098013268;18.90435885345949;-5.876037905035281;3.198409223490528;20.293362905162216;8.500195020743305
A4;0.08253020652231324;-0.8905815741236056;14.627667896586116;13.49706106635984;6.671166366759462;5.044396885644042;6.142418846729103;1.941712336558421;5.103835021297187;0.3121162730182814;0.5583902369970861;6.577468884518156;13.364169889748243;15.700979956537608;-10.37200116726298;-0.93117279039292;7.606957287402549;5.103835021297187
A5;3.955913383171139;-0.1929726818582389;21.266220546234305;13.88042981071469;9.049662490655288;2.8166471146519045;7.8744780397831615;3.733113155170464;0.16064231916546046;1.260353109212442;2.449314593379204;6.891645019121051;16.275533976029855;14.12695811674225;-8.761053966194032;-3.1928486111075793;10.9733177899354;3.955913383171139
A6;1.5596557208747974;-1.0071546638183435;16.89103079159624;15.428035516097038;7.377340192215365;5.01929550475495;7.112838618064332;3.3208435606295827;3.033107587221684;1.9655946997699791;1.776417820779197;6.124849529216259;14.612964482322122;14.341843196276136;-9.539246187800188;-1.418449593798965;9.59670029055275;5.01929550475495
A7;4.1757834134462435;0.10858060128100532;21.724758859801916;13.841513253862892;9.483254241159925;2.6288816608445176;7.878974955794482;3.787873774976469;-0.07698625505291323;1.5024293494456886;2.572289884031931;6.962450700848888;16.55992619276061;14.178914874079783;-8.592858797659309;-3.128807679483381;11.162844453192688;4.1757834134462435
A8;4.293699719754418;-0.1810743143188076;22.448508485393525;10.798198644802447;9.137381569928271;2.1198028517982914;7.743788480242153;3.1901808429893874;-0.18629265547228657;-1.5237953312521313;1.8932821763463448;7.4565120695768705;16.239374866885026;14.495529314557466;-8.529865645677804;-3.2640927276972764;9.812562171844208;4.293699719754418
A9;2.9758692088893257;-1.1653633112530315;19.384537923260204;17.60988023265555;8.160540119909987;4.5761334663476205;8.036687241639484;4.406230090019125;0.3979939501609131;3.0810011991649233;2.652794547771453;5.714883617025546;15.948048949182514;13.229077288496384;-9.195998177746311;-2.4244120187989604;11.23133888603849;4.5761334663476205
