CdSecteurH;CNRM_ALAD;CNRM_Had3;EARTH_Had3;EARTH_RAC;EARTH_RCA4;Had2_ALAD;Had2_CCLM4;Had2_Had3;Had2_Reg6;IPSL_HIR5;IPSL_RCA4;MPI_CCLM4;MPI_Reg6;MPI_REMO;Nor_HIR5;Nor_REMO;Nor_WRF;Med_models
A0;19.594406701455135;-3.086864807703782;9.91315668258077;20.522217937157027;17.835544876661658;10.885683612848627;-6.418701170404583;0.4069644412042938;0.5881882637480462;58.86840454535329;24.83341356778379;35.95689551611325;43.66291111508844;30.06985155313391;14.057764637498838;1.9268325075161077;28.69359251854844;17.835544876661658
A1;10.935779496699617;-6.470672521572574;0.994392235280861;12.185524156426531;3.607106108971747;6.5512619183632825;-5.6896155543325495;-3.380693346827801;-2.101869913802268;28.18222126757364;10.964499164839324;23.179422770431945;24.303159381840132;22.22010465015067;3.719374207876202;3.90171136772044;8.861868252045312;6.5512619183632825
A2;11.812866235579444;-6.8016255967698775;-0.3768912858650886;10.721600187278256;1.9077365863672924;7.653927778726222;-5.902873016834853;-4.035503237206206;-1.7883050374140397;27.871856227399583;9.204016940901006;21.25564230981325;26.02316067037309;24.132794673092285;2.75415192201105;4.716087506051836;8.972987732157577;7.653927778726222
A3;19.27785402923297;-4.104685586307911;4.2812728117612275;16.085839331353256;7.165241812355072;11.70994955462008;-3.299495902897831;1.0626492938871746;0.3531582868027128;43.119493169326574;19.02215163724261;30.241382439226605;36.843413894170965;28.447653217017344;6.416278568911782;6.024709908569603;18.047109960482377;11.70994955462008
A4;9.683747248360495;-7.317331834180852;-2.691345355982755;6.896132464947624;-4.301242580048115;5.696035048796144;-4.670203436538478;-3.359081256194152;-2.885137940243754;15.191366664807248;6.162045277993333;18.62616735216132;19.7837640123107;19.406337872038403;-2.9181048446737745;3.501201323881631;2.9809682243969737;3.501201323881631
A5;20.673964325502503;-4.714826933995098;0.911555099867023;8.865766838932988;-4.837370586037915;6.481234790032908;-1.2259597086365148;2.9593317942455233;-3.266684098041972;25.749236784578365;20.32413998690921;30.611338652896556;29.701616238622066;23.884474649560072;-1.452297921903023;2.7212303762884194;5.242651014386679;5.242651014386679
A6;14.25104301463378;-5.817699329144133;-0.955274005365947;8.39472437348643;-3.999468513072269;7.247676843149287;-2.759990610969909;0.3287167108212419;-2.4954439498576564;19.182074969296934;11.742385516368614;23.45171270322703;24.076749127419728;21.03919261686704;-2.8774081828891407;3.609498484043483;5.587693021405982;5.587693021405982
A7;21.35970770608997;-4.63727461483453;1.246858831429054;8.940288660552632;-4.893007934461768;6.228853939917212;-1.326919061348064;3.1655614232749985;-3.540781604609533;26.917853922845424;21.055682438205192;30.96889486387098;29.956848150899184;24.23129450189363;-1.1785139991077775;2.6734795839892467;5.1168591094240545;5.1168591094240545
A8;21.17210733112611;-4.72205930978451;0.8843287870575756;8.484117606737506;-5.00756808198769;6.064486710691597;-0.8706847834163978;2.253396673146213;-3.2504012450228603;25.911823313368252;21.389350908548455;31.850310127975167;29.893874896105043;23.483125713253305;-0.4524079316778895;3.569977651475575;3.1597633033132455;3.569977651475575
A9;19.24442264258164;-4.638805757796016;0.2560673906752964;9.585398654209865;-4.215067166816144;8.244357933746226;-1.1510657553456594;3.327368815002041;-2.773306368350847;22.875000267001756;17.568688158000256;28.11429510599359;29.290416803409713;24.302741741891907;-3.067364192740474;2.700925253898867;7.5567824792797555;7.5567824792797555
B0;15.436342750750676;-7.157295331138425;-0.3651235128061981;8.732036240407638;-4.112016186392209;4.8200552760271576;-5.124896150350578;-1.6925732553689676;-5.883773620323296;24.843991128535524;16.84846856390305;27.326556226883092;23.82807171924923;19.88357088888295;-2.2687470158704537;-1.0979377364189191;1.6629389055094146;1.6629389055094146
B1;16.757751335251392;-6.5864859541621135;-0.48743997796575345;8.371308108470753;-4.652076086970758;5.160928629757211;-3.344391302012717;-0.7884094696906208;-5.060640199027599;24.485826351167223;18.17160217345366;29.071253102289283;25.451365721316165;20.995977585552072;-1.6081965885815563;0.7652282937326893;1.9328159444634616;1.9328159444634616
B2;19.8010300191364;-5.474428755011129;-0.5987605448088962;7.408225381836586;-5.924550913363813;5.331633091254684;0.3663485436196545;0.6413071835500439;-3.7399991084531736;24.513080176951817;21.698195024985974;33.359282675236315;28.554521599154924;23.084310955341913;0.3651180393603015;4.716207425020169;1.3765327406806138;4.716207425020169
B3;19.573262384294555;-5.589108784073115;-1.2136495585031493;6.444631346447394;-6.569349636821375;5.317929735404259;1.116568918438432;-0.43100989069937423;-3.0788225748497267;22.71973323875498;21.2685303762566;33.593858131397994;29.11042287602912;22.266314330781945;0.1942547615880752;4.126973611731799;1.3306911421999246;4.126973611731799
B4;18.586366193267366;-5.794160558599771;-2.5881195386955436;4.326396933847665;-7.84964320105458;5.085524506950456;1.7196911259473202;-3.074701893840548;-1.5099877251956606;18.20355949596644;19.62005099938435;32.703123408458225;29.994668404612625;19.8836742042374;-0.6702103084478939;2.1783057780908166;1.1898439569645758;2.1783057780908166
B5;15.39998005609582;-7.837667461399899;-4.102233536511902;3.9869704056865185;-8.417343518795594;4.618335664892292;0.8571155929610219;-3.9879149209896543;-1.729854431106137;16.69000789053825;18.266174830247103;31.304792806898305;28.990714795353313;19.77078577591831;0.6416482991700612;3.0334693528446977;1.3673011854665296;3.0334693528446977
B6;7.680840904331543;-14.535753241509996;-8.669211945616684;2.975558461622496;-10.36524875955619;3.8528475071692103;-1.5921254786411154;-7.71688106368088;-1.1618317895679686;10.624832767935178;13.66670504232037;27.396809793737688;27.49507417015673;20.114159673752763;4.699715200442545;5.722398042646892;1.0331348428771037;3.8528475071692103
B7;7.633951795014626;-14.572560431391857;-8.698974120898505;2.9587459553632067;-10.382422522343417;3.847294713750915;-1.6080608338998048;-7.749363071493942;-1.149545700504773;10.554936294498418;13.624913178732868;27.36566870418966;27.48779853668793;20.09616922763129;4.716827317870154;5.720556277796218;1.0298400666876928;3.847294713750915
D0;8.662918457572166;-16.20067118853691;-8.729858619687791;3.426809372922812;-15.72854468679794;5.279265459448745;-5.972801807753891;-3.316525483624011;-6.207848032080266;16.688800753737908;19.43666347385285;29.6280946958553;27.31353725654526;20.398492341017004;8.621505883691194;5.509940778447331;7.239450242859657;5.509940778447331
E1;13.60312349759396;-11.087432967444766;-7.343852861978761;8.134674280601374;-13.590961785957113;6.397631567642859;-5.290749353838442;-3.5073032555060224;-10.02920519270073;15.639117320522434;27.060833376804517;30.740182244172853;28.6269423979717;18.013950693855342;9.653845361083002;7.499904544759639;8.80706956207533;8.134674280601374
E2;14.172609876197129;-9.865877595343242;-7.473925856285357;9.596817016941062;-13.58553684052809;5.652050632341821;-5.0092051179591035;-5.013908559999535;-12.36341383375531;9.429638770486948;28.72867633482685;26.42788809794805;26.261604641470313;17.264647991400352;6.951485651696765;7.158054378188994;10.784797824399362;7.158054378188994
E3;14.51331606600299;-10.59200994450772;-8.243898883567336;9.85708584130669;-11.50641048560377;5.19602552028624;-6.7050062189143;-6.682187741481071;-11.214664204804215;3.9659415780246343;25.92428509343581;21.744271487369037;27.49221882535973;18.057002169522352;4.578272180605936;7.288966049915913;13.173710644204494;5.19602552028624
E4;14.857281185993742;-9.044187637627898;-5.813501941901034;11.07365588331033;-6.717910305088958;6.609751619924054;-4.747384940388278;-4.890774380589702;-7.072817371218488;-0.5665683492737217;27.37742782870367;22.134059368420743;35.44720005820399;21.32093029294553;3.7763774557927783;7.3483982190833075;10.796229948267676;6.609751619924054
E5;10.355614292762285;-7.72200111604211;-4.909890516834792;8.693916353788133;-7.674380847984386;9.772151410544128;-2.2913966051940293;-2.6136935758285795;-8.459285530827565;-3.287136451764472;28.446770315198737;25.108114405221205;33.59255543279227;17.31780581740039;-1.896699265173074;-1.4682232715165666;6.744775079645016;-1.4682232715165666
