ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
K6,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.110284325144201,7121.46
O1,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.000561768046713355,4131.8
O0,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.0490152337169766,5818.12
O3,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.0663967872267599,5301.03
O2,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.058291192893931,5193.2
O5,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.0247481873057232,5960.67
O4,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.0226465680743866,4490.53
F6,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.142266358448807,7320.53
W1,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.0992375904003119,3063.94
F5,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.13519808761796,5514.57
W0,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.019434065498367,2711.46
W3,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.262077448977817,2497.41
W2,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.138604982971654,3619.5
F7,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.120425251557209,1105.04
N6,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.156711125948133,770.63
N5,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.153138496548024,403.72
N8,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.163519053189731,1300.74
N7,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.145921528459617,590.11
F0,RR,seas-DJF,GWL-20,CNRM-CM5,ALADIN63,0.123181280739156,3971.64
