GCM-RCM;ZH;deltaDegre;ref;fut;surface
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M1;1.53;4.469;5.999;8294
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M0;1.497;4.69;6.187;7963
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M3;1.428;4.918;6.346;5838
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M2;1.463;5.744;7.207;21
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U4;1.829;3.108;4.938;4014
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U1;1.772;2.482;4.254;5793
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U0;1.803;2.249;4.052;6186
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U3;1.722;3.028;4.75;5720
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;U2;1.893;1.533;3.426;7728
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L4;1.623;4.081;5.704;3885
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L3;1.556;5.129;6.685;818
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L6;1.529;4.94;6.469;1772
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L5;1.596;4.671;6.268;3913
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L8;1.52;5.216;6.735;3667
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L7;1.514;5.153;6.667;1312
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;D0;1.613;3.16;4.773;1133
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L9;1.493;5.37;6.863;1484
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L0;1.676;4.052;5.728;4402
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L2;1.592;4.989;6.581;3218
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;L1;1.589;5.006;6.595;1841
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K3;1.735;3.101;4.836;5605
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K2;2.029;1.601;3.63;8745
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K5;1.609;3.779;5.388;6822
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K4;1.589;4.206;5.795;10008
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K7;1.527;4.65;6.177;3446
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K6;1.564;4.32;5.884;7121
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O1;1.768;3.77;5.537;4132
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O0;1.769;2.772;4.542;5818
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O3;1.761;3.296;5.057;5301
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O2;1.768;5.663;7.431;5193
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O5;1.739;4.381;6.12;5961
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O4;1.723;4.753;6.476;4491
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F6;1.617;3.648;5.265;7321
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W1;1.86;-2.332;-0.472;3064
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F5;1.676;2.677;4.353;5515
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W0;1.841;-2.956;-1.115;2711
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W3;1.959;1.936;3.894;2497
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;W2;1.938;-1.915;0.023;3619
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F7;1.552;4.864;6.416;1105
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N6;1.504;5.989;7.493;771
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N5;1.497;5.602;7.099;404
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N8;1.463;6.294;7.757;1301
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N7;1.456;5.736;7.191;590
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F0;1.672;3.117;4.79;3972
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F2;1.596;3.882;5.478;1712
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F1;1.663;3.235;4.898;4595
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F4;1.589;4.051;5.64;9621
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;F3;1.645;3.422;5.067;10836
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N0;1.263;6.667;7.929;1075
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N2;1.381;6.411;7.793;619
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N1;1.348;6.303;7.651;753
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N4;1.528;5.511;7.039;1216
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;N3;1.434;5.888;7.321;1973
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V6;1.855;4.174;6.029;2137
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V5;1.827;4.055;5.882;5731
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V7;1.683;6.167;7.85;3702
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E5;1.553;4.176;5.73;3202
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V0;1.981;-0.656;1.325;3445
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E4;1.517;4.702;6.219;2241
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V2;2.029;0.975;3.004;3760
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E6;1.619;3.918;5.537;6568
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V1;2.066;1.3;3.366;5949
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V4;1.901;2.894;4.796;4936
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;V3;1.814;2.92;4.734;5191
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M5;1.448;5.5;6.948;1856
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M4;1.459;5.632;7.09;233
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M7;1.446;5.475;6.921;2356
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M6;1.389;5.707;7.096;2540
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;M8;1.298;6.204;7.502;2581
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E1;1.625;3.706;5.331;2658
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E3;1.593;4.239;5.832;2825
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q1;1.778;6.253;8.032;1586
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;E2;1.616;4.048;5.664;1210
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q0;1.735;4.98;6.715;2461
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q3;1.756;6.719;8.475;2194
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q2;1.833;5.955;7.788;3146
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q5;1.696;6.535;8.231;1425
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q4;1.729;0.69;2.419;1368
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q7;1.719;6.089;7.809;1534
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y9;1.621;6.819;8.44;2858
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q6;1.785;2.036;3.821;1089
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y8;1.493;6.589;8.082;2698
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y1;1.71;5.567;7.277;5327
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y0;1.772;5.273;7.045;5199
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y3;1.724;6.945;8.669;3125
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y2;1.687;5.826;7.512;4403
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H7;1.353;5.701;7.054;628
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y5;1.652;6.343;7.995;4493
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y4;1.592;6.728;8.32;4635
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y7;1.562;6.622;8.184;3118
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Y6;1.898;1.756;3.654;3977
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P8;1.665;6.034;7.699;1037
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P7;1.662;5.541;7.202;2799
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H0;1.641;3.511;5.152;4977
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P9;1.662;6.32;7.982;594
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H2;1.618;4.015;5.633;4017
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H1;1.659;3.371;5.03;7940
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H4;1.555;4.038;5.593;6017
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H3;1.542;4.209;5.752;4070
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H6;1.513;4.218;5.731;2312
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P0;1.895;1.801;3.696;3289
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;H5;1.469;4.772;6.241;2035
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P2;1.71;5.059;6.769;3067
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P1;1.806;2.984;4.79;3300
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P4;1.688;5.3;6.988;1282
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P3;1.706;3.926;5.632;2449
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P6;1.657;5.306;6.963;3747
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;P5;1.711;5.868;7.579;2394
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;X0;1.979;-2.235;-0.257;4831
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;X2;1.973;2.253;4.226;2298
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G7;1.402;5.156;6.558;480
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;X1;2.128;1.789;3.917;4603
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G6;1.432;4.898;6.33;453
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;X3;1.738;4.583;6.321;2640
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O7;2.062;1.389;3.451;5706
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O6;1.787;5.578;7.365;7252
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O9;1.738;5.889;7.627;6512
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;O8;1.733;4.954;6.687;5821
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G1;1.512;4.545;6.057;346
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G0;1.572;4.041;5.613;762
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G3;1.509;4.532;6.041;228
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G2;1.527;4.29;5.817;1033
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G5;1.444;5.208;6.652;242
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S3;1.734;6.743;8.477;1523
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;G4;1.489;4.659;6.148;300
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S2;1.798;5.995;7.793;2029
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S5;1.703;7.858;9.561;370
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S4;1.758;7.113;8.871;1554
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S6;1.82;6.912;8.733;200
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S9;1.964;2.916;4.88;74
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K1;1.678;3.075;4.753;11062
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;K0;2.026;1.649;3.675;7272
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S1;1.579;6.695;8.274;2790
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;S0;1.557;6.443;8.001;1911
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J9;1.297;6.032;7.329;1522
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B2;1.709;2.434;4.143;1439
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B1;1.679;1.914;3.593;1321
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B4;1.677;2.632;4.309;1652
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B3;1.652;2.928;4.581;945
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B6;1.712;2.299;4.012;90
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B5;1.665;2.878;4.544;1446
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J2;1.182;6.514;7.697;1956
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B7;1.703;2.426;4.129;470
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J1;1.267;6.047;7.314;2960
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J4;1.188;6.601;7.79;2856
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J3;1.17;6.675;7.845;4241
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J6;1.257;6.469;7.726;1618
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J5;1.238;5.846;7.084;2612
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J8;1.283;5.702;6.985;3605
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R2;1.64;5.504;7.144;1191
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J7;1.356;5.553;6.909;5707
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;B0;1.659;1.856;3.515;447
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R1;1.661;5.163;6.824;1460
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R4;1.642;5.875;7.516;881
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R3;1.626;5.841;7.466;1497
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R6;1.56;5.742;7.302;1327
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R5;1.603;6.051;7.654;1378
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R8;1.388;6.764;8.152;55
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;J0;1.325;5.765;7.09;2767
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R7;1.533;6.259;7.792;772
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A9;1.735;2.304;4.039;3836
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A8;1.689;2.657;4.346;2079
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;R0;1.617;5.144;6.761;1348
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;I9;1.383;5.062;6.445;1107
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Z4;1.084;7.77;8.854;3
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A1;2.088;1.802;3.89;1808
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;I8;1.398;4.987;6.385;477
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A0;1.947;2.593;4.541;895
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Z6;1.425;6.835;8.26;175
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A3;1.884;2.494;4.378;2549
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Z5;1.269;7.232;8.501;254
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Z8;1.549;8.803;10.352;27
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A2;2.08;2.118;4.198;2953
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A5;1.731;2.231;3.962;1930
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A4;1.981;1.339;3.32;1784
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q9;1.759;6.187;7.946;1028
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A7;1.706;2.607;4.314;2670
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;A6;1.825;1.997;3.822;3092
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;Q8;1.695;7.215;8.91;1083
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;I1;1.448;5.076;6.524;1809
tasAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seasmean_1951-2100_DJF.nc;I0;1.462;4.579;6.041;1308
